Nama,URL
Bendungan Hilir 01,https://cctv.balitower.co.id/Bendungan-Hilir-003-700014_1/tracks-v1/mono.m3u8
Bendungan Hilir 02,https://cctv.balitower.co.id/Bendungan-Hilir-003-700014_2/tracks-v1/mono.m3u8
Bendungan Hilir 03,https://cctv.balitower.co.id/Bendungan-Hilir-003-700014_3/tracks-v1/mono.m3u8
Bendungan Hilir 04,https://cctv.balitower.co.id/Bendungan-Hilir-003-700014_4/tracks-v1/mono.m3u8
Gelora Bung Karno 02,https://cctv.balitower.co.id/Gelora-017-700470_2/tracks-v1/mono.m3u8
Gelora Bung Karno 03,https://cctv.balitower.co.id/Gelora-017-700470_3/tracks-v1/mono.m3u8
Gelora Bung Karno 04,https://cctv.balitower.co.id/Gelora-017-700470_4/tracks-v1/mono.m3u8
Gelora Bung Karno 05,https://cctv.balitower.co.id/Gelora-017-700470_5/tracks-v1/mono.m3u8
Gelora Bung Karno 06,https://cctv.balitower.co.id/Gelora-017-700470_6/tracks-v1/mono.m3u8
Gelora Bung Karno 07,https://cctv.balitower.co.id/Gelora-017-700470_7/tracks-v1/mono.m3u8
Gelora Bung Karno 08,https://cctv.balitower.co.id/Gelora-017-700470_8/tracks-v1/mono.m3u8
Gelora Bung Karno 09,https://cctv.balitower.co.id/Gelora-017-700470_9/tracks-v1/mono.m3u8
Tanjung Duren Utara 02,https://cctv.balitower.co.id/Tanjung-Duren-Utara-005-702471_2/tracks-v1/mono.m3u8
Tanjung Duren Utara 03,https://cctv.balitower.co.id/Tanjung-Duren-Utara-005-702471_3/tracks-v1/mono.m3u8
Tanjung Duren Utara 04,https://cctv.balitower.co.id/Tanjung-Duren-Utara-005-702471_4/tracks-v1/mono.m3u8
Tomang 02,https://cctv.balitower.co.id/Tomang-004-702108_2/tracks-v1/mono.m3u8
Tomang 03,https://cctv.balitower.co.id/Tomang-004-702108_3/tracks-v1/mono.m3u8
Jatipulo 02,https://cctv.balitower.co.id/Jati-Pulo-001-702017_2/tracks-v1/mono.m3u8
Jatipulo 04,https://cctv.balitower.co.id/Jati-Pulo-001-702017_4/tracks-v1/mono.m3u8
Cikoko 02,https://cctv.balitower.co.id/Cikoko-006-705651_2/tracks-v1/mono.m3u8
Cikoko 03,https://cctv.balitower.co.id/Cikoko-006-705651_3/tracks-v1/mono.m3u8
Cikoko 04,https://cctv.balitower.co.id/Cikoko-006-705651_4/tracks-v1/mono.m3u8
Manggarai Pintu Air 02,https://cctv.balitower.co.id/Manggarai-Pintu-Air_2/tracks-v1/mono.m3u8
Malang 1,http://stream.cctv.malangkota.go.id/WebRTCApp/streams/227920422769509645238654.m3u8?token=null
Pasar Ciranjang, https://atcs.cianjurkab.go.id:5443/LiveApp/streams/ROZhiHw5Gqwb1711825504776.m3u8

